Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  40984001	LABADEE MANOIR      	2071315 JAMAICA AVEN	Caribbean           	01/04/2016	 53
  40984001	LABADEE MANOIR      	2071315 JAMAICA AVEN	Caribbean           	01/04/2016	 53
  40984001	LABADEE MANOIR      	2071315 JAMAICA AVEN	Caribbean           	01/04/2016	 53
  40984001	LABADEE MANOIR      	2071315 JAMAICA AVEN	Caribbean           	01/04/2016	 53
  40984001	LABADEE MANOIR      	2071315 JAMAICA AVEN	Caribbean           	01/04/2016	 53
  40992677	BRIGHT STAR CHINESE 	745 EAST GUN HILL RO	Chinese             	01/04/2016	  7
  41037850	TU CASA RESTAURANT  	11905 METROPOLITAN A	Peruvian            	01/04/2016	   
  41037850	TU CASA RESTAURANT  	11905 METROPOLITAN A	Peruvian            	01/04/2016	 11
  41037850	TU CASA RESTAURANT  	11905 METROPOLITAN A	Peruvian            	01/04/2016	 11
  41072012	TOMATO AND BASIL PIZ	226 4 AVENUE        	Pizza/Italian       	01/04/2016	 25
  41072012	TOMATO AND BASIL PIZ	226 4 AVENUE        	Pizza/Italian       	01/04/2016	 25
  41072012	TOMATO AND BASIL PIZ	226 4 AVENUE        	Pizza/Italian       	01/04/2016	 25
  41091216	O'LUNNEY'S TIMES SQU	145 WEST 45 STREET  	Irish               	01/04/2016	 12
  41091216	O'LUNNEY'S TIMES SQU	145 WEST 45 STREET  	Irish               	01/04/2016	 12
  41091216	O'LUNNEY'S TIMES SQU	145 WEST 45 STREET  	Irish               	01/04/2016	 12
  41105757	EL BARRIO RESTAURANT	158 EAST 116 STREET 	Latin (Cuban, Domini	01/04/2016	   
  41105757	EL BARRIO RESTAURANT	158 EAST 116 STREET 	Latin (Cuban, Domini	01/04/2016	 12
  41105757	EL BARRIO RESTAURANT	158 EAST 116 STREET 	Latin (Cuban, Domini	01/04/2016	 12
  41105757	EL BARRIO RESTAURANT	158 EAST 116 STREET 	Latin (Cuban, Domini	01/04/2016	 12
  41105757	EL BARRIO RESTAURANT	158 EAST 116 STREET 	Latin (Cuban, Domini	01/04/2016	 12
  41109419	THEATER ROW DINER   	424 WEST 42 STREET  	American            	01/04/2016	 17
  41109419	THEATER ROW DINER   	424 WEST 42 STREET  	American            	01/04/2016	 17
  41109419	THEATER ROW DINER   	424 WEST 42 STREET  	American            	01/04/2016	 17
  41153655	JUMBOS HAMBURGER    	112 WEST 116 STREET 	American            	01/04/2016	 19
  41153655	JUMBOS HAMBURGER    	112 WEST 116 STREET 	American            	01/04/2016	 19
  41153655	JUMBOS HAMBURGER    	112 WEST 116 STREET 	American            	01/04/2016	 19
  41153655	JUMBOS HAMBURGER    	112 WEST 116 STREET 	American            	01/04/2016	 19
  41153655	JUMBOS HAMBURGER    	112 WEST 116 STREET 	American            	01/04/2016	 19
  41168754	KELLARI TAVERNA     	19 WEST 44 STREET   	Greek               	01/04/2016	  7
  41169770	DUNKIN' DONUTS      	2926 AVENUE I       	Donuts              	01/04/2016	  2
  41171220	ESCOLAS             	3204 36 AVENUE      	Latin (Cuban, Domini	01/04/2016	 32
  41171220	ESCOLAS             	3204 36 AVENUE      	Latin (Cuban, Domini	01/04/2016	 32
  41171220	ESCOLAS             	3204 36 AVENUE      	Latin (Cuban, Domini	01/04/2016	 32
  41171220	ESCOLAS             	3204 36 AVENUE      	Latin (Cuban, Domini	01/04/2016	 32
  41171220	ESCOLAS             	3204 36 AVENUE      	Latin (Cuban, Domini	01/04/2016	 32
  41174268	DUNKIN' DONUTS, BASK	3804 JUNCTION BOULEV	Donuts              	01/04/2016	  9
  41174268	DUNKIN' DONUTS, BASK	3804 JUNCTION BOULEV	Donuts              	01/04/2016	  9
